,brick,Cód. Filial
436,1280 - S.FRANCISCO SUL,928
437,1280 - S.FRANCISCO SUL,935
438,1280 - S.FRANCISCO SUL,946
439,1280 - S.FRANCISCO SUL,959
440,1280 - S.FRANCISCO SUL,979
441,1280 - S.FRANCISCO SUL,472
442,1280 - S.FRANCISCO SUL,553
443,1280 - S.FRANCISCO SUL,609
444,1280 - S.FRANCISCO SUL,610
445,1280 - S.FRANCISCO SUL,614
446,1280 - S.FRANCISCO SUL,622
447,1280 - S.FRANCISCO SUL,656
448,1280 - S.FRANCISCO SUL,305
449,1280 - S.FRANCISCO SUL,320
450,1280 - S.FRANCISCO SUL,347
451,1280 - S.FRANCISCO SUL,353
452,1280 - S.FRANCISCO SUL,991
453,1281 - MAFRA,860
454,1281 - MAFRA,719
455,1281 - MAFRA,396
456,1281 - MAFRA,606
457,1281 - MAFRA,302
458,1282 - PORTO UNIAO,778
459,1283 - CANOINHAS,755
460,1283 - CANOINHAS,401
461,1284 - CACADOR,717
462,1284 - CACADOR,761
463,1284 - CACADOR,767
464,1284 - CACADOR,866
465,1284 - CACADOR,567
466,1285 - JOACABA,26
467,1285 - JOACABA,833
468,1286 - CONCORDIA,751
469,1286 - CONCORDIA,808
470,1286 - CONCORDIA,879
471,1287 - CHAPECO,39
472,1287 - CHAPECO,354
473,1287 - CHAPECO,757
474,1287 - CHAPECO,784
475,1287 - CHAPECO,837
476,1287 - CHAPECO,898
477,1287 - CHAPECO,679
478,1287 - CHAPECO,341
479,1287 - CHAPECO,215
480,1288 - XANXERE,777
481,1288 - XANXERE,812
482,1288 - XANXERE,981
483,1288 - XANXERE,214
484,1289 - S.MIGUEL D OESTE,756
485,1289 - S.MIGUEL D OESTE,415
486,1291 - PORTO ALEGRE - CALCADAO,759
487,1291 - PORTO ALEGRE - CALCADAO,388
488,1292 - PORTO ALEGRE - ANDRADAS,983
489,1293 - BORGES DE MEDEIROS,968
490,1294 - DR.FLORES,969
491,1297 - PORTO ALEGRA - CONCEICAO,799
492,1297 - PORTO ALEGRA - CONCEICAO,967
493,1300 - INDEPENDENCIA,487
494,1302 - MENINO DEUS,397
495,1302 - MENINO DEUS,502
496,1304 - RIO BRANCO,384
497,1305 - BELA VISTA,574
498,1306 - MOINHOS DE VENTO,444
499,1306 - MOINHOS DE VENTO,674
500,1308 - PARTENON,549
501,1309 - CRISTAL,460
502,1309 - CRISTAL,540
503,1310 - SAO PEDRO,908
504,1310 - SAO PEDRO,964
505,1311 - SARANDI,512
506,1312 - CRISTO REDENTOR,307
507,1314 - IPANEMA,984
508,1314 - IPANEMA,428
509,1314 - IPANEMA,654
510,1315 - CANOAS,980
511,1316 - GUAIBA,469
512,1317 - SAO LEOPOLDO,910
513,1317 - SAO LEOPOLDO,399
514,1317 - SAO LEOPOLDO,482
515,1318 - SAPUCAIA DO SUL,962
516,1318 - SAPUCAIA DO SUL,470
517,1319 - NOVO HAMBURGO,793
518,1319 - NOVO HAMBURGO,452
519,1319 - NOVO HAMBURGO,582
520,1320 - CAMPO BOM,532
521,1320 - CAMPO BOM,571
522,1320 - CAMPO BOM,683
523,1322 - GRAVATAI,827
524,1322 - GRAVATAI,491
525,1322 - GRAVATAI,507
526,1323 - VIAMAO,797
527,1324 - ALVORADA,427
528,1325 - CACHOEIRINHA,383
529,1326 - CAXIAS - CENTRO,826
530,1326 - CAXIAS - CENTRO,483
531,1326 - CAXIAS - CENTRO,558
532,1326 - CAXIAS - CENTRO,572
533,1326 - CAXIAS - CENTRO,584
534,1327 - CAXIAS - FATIMA,807
535,1327 - CAXIAS - FATIMA,975
